date,y_hat,y_real,signal,signal_prev,cost,pnl
2025-01-06,0.0041611157,0.02380596588713617,1,0.0,0.0,0.02380596588713617
2025-01-07,0.005950925,0.017261339944689952,1,1.0,0.0,0.017261339944689952
2025-01-08,0.0035609459,-0.01916764033079299,1,1.0,0.0,-0.01916764033079299
2025-01-10,0.0036095504,-0.04453536223407605,1,1.0,0.0,-0.04453536223407605
2025-01-13,0.0033151149,0.020945561756593675,1,1.0,0.0,0.020945561756593675
2025-01-14,0.0032442666,0.014242352738317502,1,1.0,0.0,0.014242352738317502
2025-01-15,0.0035609459,0.017462564330738534,1,1.0,0.0,0.017462564330738534
2025-01-16,0.003793715,0.023089866202137984,1,1.0,0.0,0.023089866202137984
2025-01-17,0.0032442666,0.010474303106861739,1,1.0,0.0,0.010474303106861739
2025-01-21,0.0037228668,0.026832684524582685,1,1.0,0.0,0.026832684524582685
2025-01-22,0.0035609459,-0.013830182106360391,1,1.0,0.0,-0.013830182106360391
2025-01-23,0.0032442666,0.007781046130746187,1,1.0,0.0,0.007781046130746187
2025-01-24,0.0036825156,-0.13347123597512217,1,1.0,0.0,-0.13347123597512217
2025-01-27,-0.0062976917,0.02822482202787373,-1,1.0,0.0,-0.02822482202787373
2025-01-28,0.004477795,-0.019492616395437423,1,-1.0,0.0,-0.019492616395437423
2025-01-29,0.0032442666,-0.004862233932838957,1,1.0,0.0,-0.004862233932838957
2025-01-30,0.0059247166,-0.007004035761535319,1,1.0,0.0,-0.007004035761535319
2025-01-31,0.0050386474,-0.04531905456032325,1,1.0,0.0,-0.04531905456032325
2025-02-03,0.0036095504,0.0025682354569784367,1,1.0,0.0,0.0025682354569784367
2025-02-04,0.003514523,0.025873915915866495,1,1.0,0.0,0.025873915915866495
2025-02-05,0.0035609459,0.020535875986766122,1,1.0,0.0,0.020535875986766122
2025-02-06,0.0039262297,0.004187742123981239,1,1.0,0.0,0.004187742123981239
2025-02-07,0.0035609459,0.0019235954613344413,1,1.0,0.0,0.0019235954613344413
2025-02-10,0.0035609459,-0.007439489199134852,1,1.0,0.0,-0.007439489199134852
2025-02-11,0.0032442666,-0.02115594238608635,1,1.0,0.0,-0.02115594238608635
2025-02-12,0.0032442666,0.0031975525822212094,1,1.0,0.0,0.0031975525822212094
2025-02-13,0.003997078,0.008757479449180016,1,1.0,0.0,0.008757479449180016
2025-02-14,0.003999195,0.017278725456372965,1,1.0,0.0,0.017278725456372965
2025-02-18,0.0036095504,0.0007887893630822314,1,1.0,0.0,0.0007887893630822314
2025-02-19,0.0037533639,0.005729465415404981,1,1.0,0.0,0.005729465415404981
2025-02-20,0.0036095504,-0.0004997845954040732,1,1.0,0.0,-0.0004997845954040732
2025-02-21,0.0050386474,0.015720497625637254,1,1.0,0.0,0.015720497625637254
2025-02-24,0.0032442666,-0.002305411442128591,1,1.0,0.0,-0.002305411442128591
2025-02-25,0.003952772,0.026188139905589783,1,1.0,0.0,0.026188139905589783
2025-02-26,0.0035609459,0.02794234095506401,1,1.0,0.0,0.02794234095506401
2025-02-27,0.0019008552,-0.01788690169700722,1,1.0,0.0,-0.01788690169700722
2025-02-28,0.0035609459,-0.011351376011124077,1,1.0,0.0,-0.011351376011124077
2025-03-03,0.003514523,-0.030352524036615983,1,1.0,0.0,-0.030352524036615983
2025-03-04,0.004477795,0.013615006470533032,1,1.0,0.0,0.013615006470533032
2025-03-05,0.0038374925,-0.032667673251929465,1,1.0,0.0,-0.032667673251929465
2025-03-06,0.0031289873,0.006131119252062546,1,1.0,0.0,0.006131119252062546
2025-03-07,0.0036825156,-0.025069832335233144,1,1.0,0.0,-0.025069832335233144
2025-03-10,0.0036095504,9.34197016982097e-05,1,1.0,0.0,9.34197016982097e-05
2025-03-11,0.0039262297,0.04819885234651063,1,1.0,0.0,0.04819885234651063
2025-03-12,0.0039262297,0.011084024067445993,1,1.0,0.0,0.011084024067445993
2025-03-13,0.0036095504,0.02587785845510764,1,1.0,0.0,0.02587785845510764
2025-03-14,0.0035609459,0.00875583280642798,1,1.0,0.0,0.00875583280642798
2025-03-17,0.0032442666,-0.01288275121169964,1,1.0,0.0,-0.01288275121169964
2025-03-18,0.0032442666,0.01581465157665412,1,1.0,0.0,0.01581465157665412
2025-03-19,0.0036825156,-0.008288111634961967,1,1.0,0.0,-0.008288111634961967
2025-03-20,0.004039546,-0.013505079167773376,1,1.0,0.0,-0.013505079167773376
2025-03-21,0.0032442666,0.01835223119941053,1,1.0,0.0,0.01835223119941053
2025-03-24,0.0036825156,-0.0071086477765780805,1,1.0,0.0,-0.0071086477765780805
2025-03-25,0.0036095504,-0.01637325890716633,1,1.0,0.0,-0.01637325890716633
2025-03-26,0.0032442666,-0.02141260483339896,1,1.0,0.0,-0.02141260483339896
2025-03-27,0.0032442666,0.0005382878210594646,1,1.0,0.0,0.0005382878210594646
2025-03-28,0.0039262297,-0.04227818661391645,1,1.0,0.0,-0.04227818661391645
2025-03-31,0.0032442666,0.0012909120611330385,1,1.0,0.0,0.0012909120611330385
2025-04-01,0.003999195,-0.026307629919230593,1,1.0,0.0,-0.026307629919230593
2025-04-02,0.0033151149,-0.06462301323968983,1,1.0,0.0,-0.06462301323968983
2025-04-03,-0.006111564,-0.02879975131798522,-1,1.0,0.0,0.02879975131798522
2025-04-04,-0.0011963698,-0.07540566715193878,-1,-1.0,0.0,0.07540566715193878
2025-04-07,0.0050386474,0.06127504241340883,1,-1.0,0.0,0.06127504241340883
2025-04-08,0.005355327,0.026539764615682648,1,1.0,0.0,0.026539764615682648
2025-04-09,0.0031289873,-0.044352365109511536,1,1.0,0.0,-0.044352365109511536
2025-04-10,-0.007644836,0.008608377373597317,-1,1.0,0.0,-0.008608377373597317
2025-04-11,0.0040458366,0.02826352629375376,1,-1.0,0.0,0.02826352629375376
2025-04-14,0.0033151149,0.002345743910994804,1,1.0,0.0,0.002345743910994804
2025-04-15,0.003952772,-0.07061751082522807,1,1.0,0.0,-0.07061751082522807
2025-04-16,0.0032442666,-0.000382893816495383,1,1.0,0.0,-0.000382893816495383
2025-04-17,0.0033151149,-0.02716636947939246,1,1.0,0.0,-0.02716636947939246
2025-04-21,0.0036095504,0.019112392219457677,1,1.0,0.0,0.019112392219457677
2025-04-22,0.0033992436,0.055370293424917304,1,1.0,0.0,0.055370293424917304
2025-04-23,0.0032442666,0.0074689154942363094,1,1.0,0.0,0.0074689154942363094
2025-04-24,0.0032442666,0.003938472564248637,1,1.0,0.0,0.003938472564248637
2025-04-25,0.003952772,-0.01196207890757158,1,1.0,0.0,-0.01196207890757158
2025-04-28,0.0032442666,-0.009796799062238478,1,1.0,0.0,-0.009796799062238478
2025-04-29,0.0035609459,-0.042631360310087726,1,1.0,0.0,-0.042631360310087726
2025-04-30,0.0032442666,0.037481898023396104,1,1.0,0.0,0.037481898023396104
2025-05-01,0.004039546,0.022765496072640157,1,1.0,0.0,0.022765496072640157
2025-05-02,0.0032442666,-0.013983749367984322,1,1.0,0.0,-0.013983749367984322
2025-05-05,0.0032442666,-0.020773017767587814,1,1.0,0.0,-0.020773017767587814
2025-05-06,0.0032442666,-0.004324980087318321,1,1.0,0.0,-0.004324980087318321
2025-05-07,0.0036317944,0.010114424364992377,1,1.0,0.0,0.010114424364992377
2025-05-08,0.0032442666,-0.00017045221885930118,1,1.0,0.0,-0.00017045221885930118
2025-05-09,0.0036095504,0.04459711131510164,1,1.0,0.0,0.04459711131510164
2025-05-12,0.0032442666,0.01596939598828405,1,1.0,0.0,0.01596939598828405
2025-05-13,0.0035609459,0.0248559476710478,1,1.0,0.0,0.0248559476710478
2025-05-14,0.005355327,-0.007788513147695657,1,1.0,0.0,-0.007788513147695657
2025-05-15,0.0063162087,0.01025649554798171,1,1.0,0.0,0.01025649554798171
2025-05-16,0.0032442666,-0.022481208061199073,1,1.0,0.0,-0.022481208061199073
2025-05-19,0.0032442666,-0.009486575518866636,1,1.0,0.0,-0.009486575518866636
2025-05-20,0.0032442666,-0.009871507862279824,1,1.0,0.0,-0.009871507862279824
2025-05-21,0.0036095504,0.0032571530350352994,1,1.0,0.0,0.0032571530350352994
2025-05-22,0.004039546,-0.021535678473777905,1,1.0,0.0,-0.021535678473777905
2025-05-23,0.0036095504,0.02154996556560942,1,1.0,0.0,0.02154996556560942
2025-05-27,0.0032442666,0.0039038003518041247,1,1.0,0.0,0.0039038003518041247
2025-05-28,0.0036095504,0.053719711413446634,1,1.0,0.0,0.053719711413446634
2025-05-29,0.0035609459,-0.003382401947412255,1,1.0,0.0,-0.003382401947412255
2025-05-30,0.0036825156,0.002660563217107475,1,1.0,0.0,0.002660563217107475
2025-06-02,0.0032442666,0.010139092347327018,1,1.0,0.0,0.010139092347327018
2025-06-03,0.0032442666,0.006845241846128049,1,1.0,0.0,0.006845241846128049
2025-06-04,0.0032442666,0.0017600061090249012,1,1.0,0.0,0.0017600061090249012
2025-06-05,0.0032442666,0.017841103412883145,1,1.0,0.0,0.017841103412883145
2025-06-06,0.0032442666,0.010319148125275429,1,1.0,0.0,0.010319148125275429
2025-06-09,0.0032442666,0.00042056328289591686,1,1.0,0.0,0.00042056328289591686
2025-06-10,0.0032442666,0.004574399323707314,1,1.0,0.0,0.004574399323707314
2025-06-11,0.0036825156,-0.006039348420555595,1,1.0,0.0,-0.006039348420555595
2025-06-12,0.0035609459,-0.017532133425559288,1,1.0,0.0,-0.017532133425559288
2025-06-13,0.0036095504,0.009673458633294208,1,1.0,0.0,0.009673458633294208
2025-06-16,0.0032442666,-0.0013832005992222114,1,1.0,0.0,-0.0013832005992222114
2025-06-17,0.0036095504,-0.0007635485347384402,1,1.0,0.0,-0.0007635485347384402
2025-06-18,0.0032442666,-0.00020622679103848051,1,1.0,0.0,-0.00020622679103848051
2025-06-20,0.0032442666,-0.009429132718573601,1,1.0,0.0,-0.009429132718573601
2025-06-23,0.0032442666,0.00959520984830237,1,1.0,0.0,0.00959520984830237
2025-06-24,0.0032442666,0.00922044681861728,1,1.0,0.0,0.00922044681861728
2025-06-25,0.003999195,0.0107642162495956,1,1.0,0.0,0.0107642162495956
2025-06-26,0.0032442666,0.00655817319780433,1,1.0,0.0,0.00655817319780433
